"N_Protocol" "Total_foraging_time" "Total_bite_rate" "Bite_rate" "BDI" "Foraging_time_av" "Surface"
147 12 0.25 NA 0.7375 6.04e-05 7.174215364
149 0 NA NA 1 0 4.189899117
149 0 NA NA 1 0 4.189899117
149 0 NA NA 1 0 4.189899117
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 0.272727273 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 0.103448276 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
152 62 0.193548387 NA 0.7375 0.000105035 5.483608871
153 9 0.111111111 NA 1.081944444 1.51e-05 3.721116753
153 9 0.111111111 0.111111111 1.081944444 1.51e-05 3.721116753
153 9 0.111111111 NA 1.081944444 1.51e-05 3.721116753
157 26 0.153846154 NA 0.5 4.36e-05 9.382033492
157 26 0.153846154 0.153846154 0.5 4.36e-05 9.382033492
157 26 0.153846154 NA 0.5 4.36e-05 9.382033492
157 26 0.153846154 NA 0.5 4.36e-05 9.382033492
157 26 0.153846154 NA 0.5 4.36e-05 9.382033492
165 0 NA NA 0.925 0 4.275795782
190 0 NA NA 0.7375 0 4.958356745
190 0 NA NA 0.7375 0 4.958356745
190 0 NA NA 0.7375 0 4.958356745
190 0 NA NA 0.7375 0 4.958356745
192 0 NA NA 0.6875 0 10.54295585
208 0 NA NA 0.7375 0 1.764571137
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
211 0 NA NA 0.850735294 0 1.500265459
233 2 0.5 NA 1.6125 3.38e-06 9.204252473
233 2 0.5 NA 1.6125 3.38e-06 9.204252473
233 2 0.5 NA 1.6125 3.38e-06 9.204252473
233 2 0.5 0.5 1.6125 3.38e-06 9.204252473
233 2 0.5 NA 1.6125 3.38e-06 9.204252473
235 0 NA NA 1.019091387 0 1.462592573
235 0 NA NA 1.019091387 0 1.462592573
235 0 NA NA 1.019091387 0 1.462592573
235 0 NA NA 1.019091387 0 1.462592573
235 0 NA NA 1.019091387 0 1.462592573
235 0 NA NA 1.019091387 0 1.462592573
235 0 NA NA 1.019091387 0 1.462592573
238 0 NA NA 1.595833333 0 1.909635891
238 0 NA NA 1.595833333 0 1.909635891
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 0.25 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 0.142857143 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 0.2 1.4 7.61e-05 3.33104837
243 45 0.222222222 0.285714286 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
243 45 0.222222222 NA 1.4 7.61e-05 3.33104837
